incoming_id,predicted_duplicate,matched_product_id,score
EVAL-DUP-001,False,,0.88377625
EVAL-DUP-002,False,,0.91494554
EVAL-DUP-003,False,,0.89528155
EVAL-DUP-004,False,,0.8660574
EVAL-DUP-005,False,,0.8903314
EVAL-DUP-006,True,B01M6YTQAM,0.9203012
EVAL-DUP-007,True,B01M0G3WP0,0.94762486
EVAL-NEW-001,False,,0.8723727
EVAL-NEW-002,False,,0.87717247
EVAL-NEW-003,False,,0.8792994
EVAL-NEW-004,False,,0.8691171
EVAL-NEW-005,False,,0.8750096
EVAL-NEW-006,False,,0.8817862
EVAL-NEW-007,False,,0.8828098
